Square Feet,Price,Price/Sqft,Zip,City,State,Street Address,Bedrooms,Bathrooms,URL,Image,Price Category
1169.0,610000,521.8135158254919,98029,Issaquah,WA,5260 238th Ln SE Unit 85,2.0,2.0,https://www.redfin.com/WA/Issaquah/5260-238th-Ln-SE-98029/unit-8-5/home/25369,https://ssl.cdn-redfin.com/photo/1/islphoto/152/genIslnoResize.2303152_0.jpg,Medium-low
4000.0,1799950,449.9875,98027,Issaquah,WA,20305 SE 130th St,5.0,5.0,https://www.redfin.com/WA/Issaquah/20305-SE-130th-St-98027/home/419829,https://ssl.cdn-redfin.com/photo/1/islphoto/387/genIslnoResize.2291387_0.jpg,High
1015.0,435000,428.57142857142856,98027,Issaquah,WA,170 Newport Way NW Unit D30,2.0,2.0,https://www.redfin.com/WA/Issaquah/170-Newport-Way-NW-98027/unit-D30/home/2060369,https://ssl.cdn-redfin.com/photo/1/islphoto/928/genIslnoResize.2303928_0.jpg,Low
2740.0,926000,337.95620437956205,98027,Issaquah,WA,6825 280Th Dr SE,2.0,2.0,https://www.redfin.com/WA/Issaquah/6825-280th-Dr-SE-98027/home/468216,https://ssl.cdn-redfin.com/photo/1/islphoto/099/genIslnoResize.2304099_0.jpg,Medium-High
912.0,478888,525.0964912280701,98027,Issaquah,WA,4707 W Lake Sammamish Pkwy SE Unit D303,2.0,2.0,https://www.redfin.com/WA/Issaquah/4707-W-Lake-Sammamish-Pkwy-SE-98027/unit-D303/home/62737,https://ssl.cdn-redfin.com/photo/1/islphoto/308/genIslnoResize.2304308_1.jpg,Low
4640.0,2600000,560.3448275862069,98029,Issaquah,WA,1405 Pine Crest Cir NE,6.0,6.0,https://www.redfin.com/WA/Issaquah/1405-Pine-Crest-Cir-NE-98029/home/55551278,https://ssl.cdn-redfin.com/photo/1/islphoto/325/genIslnoResize.2303325_2.jpg,High
3038.0,1648800,542.7254772876893,98029,Sammamish,WA,4764 SE 244th Ct,5.0,5.0,https://www.redfin.com/WA/Sammamish/4764-244th-Ct-SE-98029/home/143457275,https://ssl.cdn-redfin.com/photo/1/islphoto/341/genIslnoResize.2303341_0.jpg,High
1414.0,775000,548.0905233380481,98027,Issaquah,WA,18609 SE Newport Way 408,2.0,2.0,https://www.redfin.com/WA/Issaquah/18609-SE-Newport-Way-98027/unit-408/home/40264393,https://ssl.cdn-redfin.com/photo/1/islphoto/614/genIslnoResize.2302614_0.jpg,Medium-low
1748.0,895000,512.0137299771167,98027,Issaquah,WA,485 E Sunset Way Unit 3A,3.0,3.0,https://www.redfin.com/WA/Issaquah/485-E-Sunset-Way-98027/unit-3A/home/12093648,https://ssl.cdn-redfin.com/photo/1/islphoto/759/genIslnoResize.2293759_1.jpg,Medium-High
6070.0,4595000,757.001647446458,98029,Issaquah,WA,3028 NE Harrison Dr,7.0,7.0,https://www.redfin.com/WA/Issaquah/3028-NE-Harrison-Dr-98029/home/18661353,https://ssl.cdn-redfin.com/photo/1/islphoto/791/genIslnoResize.2302791_1.jpg,High
1112.0,538181,483.9757194244604,98027,Issaquah,WA,18501 SE Newport Way Unit J139,2.0,2.0,https://www.redfin.com/WA/Issaquah/18501-SE-Newport-Way-98027/unit-J139/home/16357,https://ssl.cdn-redfin.com/photo/1/islphoto/949/genIslnoResize.2302949_4.jpg,Medium-low
