sqft,price,price/sqft,zip,city,state,street_address,bedrooms,bathrooms,url,img
1980.0,605000,305.55555555555554,98042,Kent,WA,15335 SE 307th St,4,4,https://www.redfin.com/WA/Kent/15335-SE-307th-St-98042/home/380189,https://ssl.cdn-redfin.com/photo/1/islphoto/686/genIslnoResize.2280686_0.jpg
2800.0,1090000,389.2857142857143,98042,Kent,WA,18415 SE Covington Sawyer Rd,4,4,https://www.redfin.com/WA/Kent/18415-SE-Covington-Sawyer-Rd-98042/home/382301,https://ssl.cdn-redfin.com/photo/1/islphoto/467/genIslnoResize.2284467_1.jpg
1016.0,389999,383.85728346456693,98032,Kent,WA,23235 58th S 1,2,2,https://www.redfin.com/WA/Kent/23235-58th-Ave-S-98032/unit-1/home/58762,https://ssl.cdn-redfin.com/photo/1/islphoto/514/genIslnoResize.2278514_0.jpg
1400.0,1400000,1000.0,98042,Kent,WA,26508 132nd Ave SE,3,3,https://www.redfin.com/WA/Kent/26508-132nd-Ave-SE-98042/home/401135,https://ssl.cdn-redfin.com/photo/1/islphoto/955/genIslnoResize.2281955_0.jpg
1740.0,620000,356.32183908045977,98055,Renton,WA,19604 108th Ave SE,3,3,https://www.redfin.com/WA/Renton/19604-108-Ave-98055/home/220267,https://ssl.cdn-redfin.com/photo/1/islphoto/468/genIslnoResize.2280468_0.jpg
1714.0,599000,349.4749124854142,98031,Kent,WA,22328 88th Way S Unit B106,3,3,https://www.redfin.com/WA/Kent/22328-88th-Way-S-98031/unit-B106/home/174072562,https://ssl.cdn-redfin.com/photo/1/islphoto/632/genIslnoResize.2281632_2.jpg
2140.0,695000,324.76635514018693,98042,Kent,WA,13704 SE 270th St,4,4,https://www.redfin.com/WA/Kent/13704-SE-270th-St-98042/home/401847,https://ssl.cdn-redfin.com/photo/1/islphoto/525/genIslnoResize.2280525_0.jpg
1504.0,160000,106.38297872340425,98042,Kent,WA,15410 SE 272nd St 17,3,3,https://www.redfin.com/WA/Kent/15410-SE-272nd-St-98042/unit-17/home/21727442,https://ssl.cdn-redfin.com/photo/1/islphoto/254/genIslnoResize.2277254_0.jpg
1830.0,749900,409.78142076502735,98038,Maple Valley,WA,27345 245th Ave SE,4,4,https://www.redfin.com/WA/Maple-Valley/27345-245th-Ave-SE-98038/home/379406,https://ssl.cdn-redfin.com/photo/1/islphoto/658/genIslnoResize.2274658_4.jpg
8775.0,3150000,358.97435897435895,98032,Kent,WA,720 Washington Ave N,19,19,https://www.redfin.com/WA/Kent/720-Washington-Ave-N-98032/home/2079237,https://ssl.cdn-redfin.com/photo/1/islphoto/542/genIslnoResize.2280542_0.jpg
3437.0,1266991,368.6328193191737,98030,Kent,WA,11908 SE 242nd St,4,4,https://www.redfin.com/WA/Kent/11908-SE-242nd-St-98030/home/192107466,https://ssl.cdn-redfin.com/photo/595/islphoto/7B5/genIslnoResize.B1F2ED3237B5_1.jpg
2597.0,1086685,418.43858298036196,98030,Kent,WA,11904 SE 242nd Pl,4,4,https://www.redfin.com/WA/Kent/11904-SE-242nd-Pl-98030/home/192107432,https://ssl.cdn-redfin.com/photo/595/islphoto/B7B/genIslnoResize.02AE98CA1B7B_0.jpg
2783.0,800000,287.4595759971254,98032,Kent,WA,4502 S 218 St 133,5,5,https://www.redfin.com/WA/Kent/4502-S-218th-St-98032/unit-133/home/192104129,https://ssl.cdn-redfin.com/photo/1/islphoto/011/genIslnoResize.2268011_1.jpg
2680.0,834750,311.4738805970149,98042,Kent,WA,14033 SE 278th St,4,4,https://www.redfin.com/WA/Kent/14033-SE-278th-St-98042/home/404204,https://ssl.cdn-redfin.com/photo/1/islphoto/479/genIslnoResize.2271479_0.jpg
2510.0,999999,398.4059760956175,98042,Kent,WA,17516 SE 292nd Pl,4,4,https://www.redfin.com/WA/Kent/17516-SE-292nd-Pl-98042/home/382502,https://ssl.cdn-redfin.com/photo/1/islphoto/168/genIslnoResize.2278168_1.jpg
1148.0,450000,391.98606271777004,98032,Kent,WA,6232 S 233rd St,2,2,https://www.redfin.com/WA/Kent/6232-S-233rd-St-98032/home/60705,https://ssl.cdn-redfin.com/photo/1/islphoto/466/genIslnoResize.2277466_0.jpg
2440.0,735000,301.2295081967213,98031,Kent,WA,12614 SE 208th Pl,5,5,https://www.redfin.com/WA/Kent/12614-SE-208th-Pl-98031/home/223623,https://ssl.cdn-redfin.com/photo/1/islphoto/168/genIslnoResize.2273168_J.jpg
1270.0,754950,594.4488188976378,98042,Kent,WA,26404 132nd Ave SE,2,2,https://www.redfin.com/WA/Kent/26404-132nd-Ave-SE-98042/home/398575,https://ssl.cdn-redfin.com/photo/1/islphoto/021/genIslnoResize.2277021_1.jpg
1610.0,680000,422.360248447205,98030,Kent,WA,12623 SE 277th Place Pl SE,4,4,https://www.redfin.com/WA/Kent/12623-SE-277th-Pl-98030/home/405101,https://ssl.cdn-redfin.com/photo/1/islphoto/141/genIslnoResize.2277141_0.jpg
1609.0,459950,285.86078309509014,98030,Kent,WA,10509 SE 250th Pl Unit D103,3,3,https://www.redfin.com/WA/Kent/10509-SE-250th-Pl-98030/unit-D103/home/47336,https://ssl.cdn-redfin.com/photo/1/islphoto/524/genIslnoResize.2232524_0.jpg
2687.0,842125,313.4071455154447,98032,Kent,WA,26902 30th Pl S,3,3,https://www.redfin.com/WA/Kent/26902-30th-PL-S-98032/home/192019880,https://ssl.cdn-redfin.com/photo/595/islphoto/2FF/genIslnoResize.4485B3EAF2FF_0.jpg
2687.0,820950,305.5266096017864,98032,Kent,WA,The Avalon Plan,3,3,https://www.redfin.com/WA/Kent/Kent/The-Avalon/home/192019874,https://ssl.cdn-redfin.com/photo/595/islphoto/86B/genIslnoResize.31131EF9586B_0.jpg
2640.0,925000,350.3787878787879,98042,Kent,WA,19409 SE 277th St,4,4,https://www.redfin.com/WA/Kent/19409-SE-277th-St-98042/home/382352,https://ssl.cdn-redfin.com/photo/1/islphoto/939/genIslnoResize.2275939_0.jpg
1416.0,435000,307.20338983050846,98031,Kent,WA,23501 112th Ave SE Unit E102,2,2,https://www.redfin.com/WA/Kent/23501-112th-Ave-SE-98031/unit-E102/home/19013,https://ssl.cdn-redfin.com/photo/1/islphoto/698/genIslnoResize.2275698_0.jpg
2267.0,699999,308.7776797529775,98092,Auburn,WA,29322 120th Ave SE,5,5,https://www.redfin.com/WA/Auburn/29322-120th-Ave-SE-98092/home/22494933,https://ssl.cdn-redfin.com/photo/1/islphoto/235/genIslnoResize.2272235_0.jpg
1394.0,489950,351.47058823529414,98032,Kent,WA,5403 S 234 St Unit 53,3,3,https://www.redfin.com/WA/Kent/5403-S-234th-St-98032/unit-5-3/home/56786,https://ssl.cdn-redfin.com/photo/1/islphoto/293/genIslnoResize.2273293_0.jpg
2110.0,650000,308.0568720379147,98042,Kent,WA,14148 SE 238th Ln 11,3,3,https://www.redfin.com/WA/Kent/14148-SE-238th-Ln-98042/unit-11/home/225480,https://ssl.cdn-redfin.com/photo/1/islphoto/062/genIslnoResize.2271062_0.jpg
3490.0,1169995,335.24212034383953,98042,Kent,WA,21036 142nd Ave SE,5,5,https://www.redfin.com/WA/Kent/21036-142nd-Ave-SE-98042/home/393159,https://ssl.cdn-redfin.com/system_files/media/935647_JPG/genDesktopMapHomeCardUrl/item_139.jpg
1888.0,744950,394.57097457627117,98031,Kent,WA,20316 124th Pl SE,4,4,https://www.redfin.com/WA/Kent/20316-124th-Pl-SE-98030/home/190608783,https://ssl.cdn-redfin.com/photo/1/islphoto/205/genIslnoResize.2270205_0.jpg
3910.0,1300000,332.48081841432224,98030,Kent,WA,26461 104th Ave SE,5,5,https://www.redfin.com/WA/Kent/26461-104th-Ave-SE-98030/home/397197,https://ssl.cdn-redfin.com/photo/1/islphoto/565/genIslnoResize.2271565_0.jpg
2450.0,740000,302.0408163265306,98030,Kent,WA,13103 SE 261st Pl,5,5,https://www.redfin.com/WA/Kent/13103-SE-261st-Pl-98030/home/400267,https://ssl.cdn-redfin.com/photo/1/islphoto/237/genIslnoResize.2269237_0.jpg
1008.0,359999,357.14186507936506,98198,Seatac,WA,21507 42nd Ave S Unit E8,2,2,https://www.redfin.com/WA/SeaTac/21507-42nd-Ave-S-98198/unit-E-8/home/191494697,https://ssl.cdn-redfin.com/photo/1/islphoto/170/genIslnoResize.2247170_0.jpg
3437.0,1281995,372.9982542915333,98030,Kent,WA,24201 118th Pl SE,4,4,https://www.redfin.com/WA/Kent/24201-118th-Pl-SE-98030/home/191759039,https://ssl.cdn-redfin.com/photo/595/islphoto/6C3/genIslnoResize.3DCDE59916C3_1.jpg
993.0,430000,433.0312185297079,98032,Kent,WA,5731 S 234th Pl Unit 96,2,2,https://www.redfin.com/WA/Kent/5731-S-234th-Pl-98032/unit-9-6/home/30469,https://ssl.cdn-redfin.com/photo/1/islphoto/014/genIslnoResize.2266014_0.jpg
1004.0,360000,358.56573705179284,98030,Kent,WA,25732 115th Ave SE Unit c101,3,3,https://www.redfin.com/WA/Kent/25732-115th-Ave-SE-98030/unit-C101/home/191518561,https://ssl.cdn-redfin.com/photo/1/islphoto/734/genIslnoResize.2266734_2.jpg
2705.0,934900,345.6192236598891,98031,Kent,WA,Plan A275 Plan,4,4,https://www.redfin.com/WA/Kent/Kent/Plan-A-275/home/189117556,https://ssl.cdn-redfin.com/photo/595/islphoto/66B/genIslnoResize.0817184E266B_1.jpg
