Square Feet,Price,Zip,City,State,Street Address,Bedrooms,Bathrooms,URL,Image,Price/Sqft,Price Category
1900.0,739000,98032,Auburn,WA,33603 132nd Pl SE,4.0,4.0,https://www.redfin.com/WA/Auburn/33603-132nd-Pl-SE-98092/home/380198,https://ssl.cdn-redfin.com/photo/1/islphoto/740/genIslnoResize.2308740_0.jpg,388.94736842105266,Medium-low
910.0,305000,98002,Auburn,WA,1101 37th St SE 103,2.0,2.0,https://www.redfin.com/WA/Auburn/1101-37th-St-SE-98002/unit-103/home/18305,https://ssl.cdn-redfin.com/photo/1/islphoto/977/genIslnoResize.2308977_0.jpg,335.16483516483515,Low
1650.0,600000,98092,Auburn,WA,11517 SE 322nd Pl,3.0,3.0,https://www.redfin.com/WA/Auburn/11517-SE-322nd-Pl-98092/home/406253,https://ssl.cdn-redfin.com/photo/1/islphoto/027/genIslnoResize.2303027_0.jpg,363.6363636363636,Medium-low
952.0,410000,98002,Auburn,WA,2809 O St SE 1,2.0,2.0,https://www.redfin.com/WA/Auburn/2809-O-St-SE-98002/unit-1/home/12538862,https://ssl.cdn-redfin.com/photo/1/islphoto/025/genIslnoResize.2309025_0.jpg,430.672268907563,Low
2070.0,714900,98092,Auburn,WA,30622 115th Ct SE,4.0,4.0,https://www.redfin.com/WA/Auburn/30622-115th-Ct-SE-98092/home/406787,https://ssl.cdn-redfin.com/photo/1/islphoto/796/genIslnoResize.2308796_1.jpg,345.3623188405797,Medium-low
1376.0,425000,98002,Auburn,WA,1302 3rd St SE 1,3.0,3.0,https://www.redfin.com/WA/Auburn/1302-3rd-St-SE-98002/unit-1/home/191505436,https://ssl.cdn-redfin.com/photo/1/islphoto/805/genIslnoResize.2308805_0.jpg,308.8662790697674,Low
1248.0,129000,98002,Auburn,WA,2302 R St SE 128,2.0,2.0,https://www.redfin.com/WA/Auburn/2302-R-St-SE-98002/unit-128/home/178420558,https://ssl.cdn-redfin.com/photo/1/islphoto/774/genIslnoResize.2308774_0.jpg,103.36538461538461,Low
1400.0,599999,98002,Auburn,WA,1003 8th St NE,3.0,3.0,https://www.redfin.com/WA/Auburn/1003-8th-St-NE-98002/home/217812,https://ssl.cdn-redfin.com/photo/1/islphoto/409/genIslnoResize.2305409_1.jpg,428.5707142857143,Medium-low
1259.0,299000,98092,Auburn,WA,3435 Auburn Way S 41,3.0,3.0,https://www.redfin.com/WA/Auburn/3435-Auburn-Way-S-98092/unit-41/home/41359,https://ssl.cdn-redfin.com/photo/1/islphoto/420/genIslnoResize.2308420_0.jpg,237.4900714853058,Low
1560.0,510000,98092,Auburn,WA,12315 SE 310th Ln 75,3.0,3.0,https://www.redfin.com/WA/Auburn/12315-SE-310th-Ln-98092/unit-75/home/65964,https://ssl.cdn-redfin.com/photo/1/islphoto/939/genIslnoResize.2307939_0.jpg,326.9230769230769,Low
1550.0,589000,98092,Auburn,WA,12626 SE 317th St,5.0,5.0,https://www.redfin.com/WA/Auburn/12626-SE-317th-St-98092/home/406172,https://ssl.cdn-redfin.com/photo/1/islphoto/603/genIslnoResize.2306603_0.jpg,380.0,Medium-low
1160.0,379000,98002,Auburn,WA,1519 22nd St NE,2.0,2.0,https://www.redfin.com/WA/Auburn/1519-22nd-St-NE-98002/home/71671,https://ssl.cdn-redfin.com/photo/1/islphoto/654/genIslnoResize.2307654_0.jpg,326.7241379310345,Low
1597.0,575000,98002,Auburn,WA,206 13th St SE,3.0,3.0,https://www.redfin.com/WA/Auburn/206-13th-St-SE-98002/home/2092229,https://ssl.cdn-redfin.com/system_files/media/1008808_JPG/genDesktopMapHomeCardUrl/item_3.jpg,360.05009392611146,Medium-low
924.0,129000,98002,Auburn,WA,210 37th St SE 94,2.0,2.0,https://www.redfin.com/WA/Auburn/210-37th-St-SE-98002/unit-94/home/176041352,https://ssl.cdn-redfin.com/photo/1/islphoto/396/genIslnoResize.2307396_0.jpg,139.6103896103896,Low
