Square Feet,Price,Zip,City,State,Street Address,Bedrooms,Bathrooms,URL,Image
783,239950,98092,Auburn,WA,3435 Auburn Way S Unit A23,2,2,https://www.redfin.com/WA/Auburn/3435-Auburn-Way-S-98092/unit-A23/home/175671617,https://ssl.cdn-redfin.com/photo/1/islphoto/179/genIslnoResize.2283179_0.jpg
2540,740000,98002,Auburn,WA,402 4th St SE,6,6,https://www.redfin.com/WA/Auburn/402-4th-St-SE-98002/home/219853,https://ssl.cdn-redfin.com/photo/1/islphoto/255/genIslnoResize.2298255_0.jpg
2760,1399000,98001,Auburn,WA,Undisclosed address,7,7,https://www.redfin.com/WA/Federal-Way/Undisclosed-address-98001/home/192938801,https://ssl.cdn-redfin.com/photo/1/islphoto/568/genIslnoResize.2293568_0.jpg
932,375000,98092,Auburn,WA,1108 59th St SE Unit F14,2,2,https://www.redfin.com/WA/Auburn/1108-59th-St-SE-98092/unit-F14/home/3008118,https://ssl.cdn-redfin.com/photo/1/islphoto/588/genIslnoResize.2297588_0.jpg
2656,899950,98001,Auburn,WA,29336 58TH Ct S,5,5,https://www.redfin.com/WA/Auburn/29336-58th-Ct-S-98001/home/192916936,https://ssl.cdn-redfin.com/photo/1/islphoto/078/genIslnoResize.2298078_0.jpg
2200,1095000,98092,Auburn,WA,19432 SE 342 St,3,3,https://www.redfin.com/WA/Auburn/19432-SE-342nd-St-98092/home/381028,https://ssl.cdn-redfin.com/photo/1/islphoto/159/genIslnoResize.2294159_0.jpg
1007,399999,98092,Auburn,WA,6127 Hazel Loop SE Unit B9,2,2,https://www.redfin.com/WA/Auburn/6127-Hazel-Loop-SE-98092/unit-B9/home/3032688,https://ssl.cdn-redfin.com/photo/1/islphoto/889/genIslnoResize.2297889_0.jpg
1032,88950,98002,Auburn,WA,2302 R St 78,2,2,https://www.redfin.com/WA/Auburn/2302-R-St-SE-98002/unit-78/home/182621747,https://ssl.cdn-redfin.com/photo/1/islphoto/877/genIslnoResize.2297877_1.jpg
3640,468000,98002,Auburn,WA,930 Auburn Way S,6,6,https://www.redfin.com/WA/Auburn/930-Auburn-Way-S-98002/home/214497,https://ssl.cdn-redfin.com/photo/1/islphoto/856/genIslnoResize.2297856_0.jpg
2400,865950,98092,Auburn,WA,29624 132nd Ave SE,5,5,https://www.redfin.com/WA/Auburn/29624-132nd-Ave-SE-98092/home/402642,https://ssl.cdn-redfin.com/photo/1/islphoto/615/genIslnoResize.2297615_0.jpg
